HGNC ID	Approved Symbol	Approved Name	RefSeq IDs	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		26982	NG_001269
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		26957	NG_001265
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		642762	NG_006974
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	NM_005164	225	NM_005164
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	NM_002858	5825	NM_001122674
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	NM_005050	5826	NM_001353591
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	NM_002940	6059	NM_001040876
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1		23	NM_001025091
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript		107986587	XR_001744078
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	NM_005692	10061	NM_005692
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		344653	NG_022253
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		100422059	NG_026596
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	NM_018358	55324	NM_001351298
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	NM_207174	9619	NM_004915
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	NM_004827	9429	NM_001257386
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	NM_022169	64137	NM_001142505
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	NM_022436	64240	NM_022436
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	NM_022437	64241	NM_001357321
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4			
HGNC:17553	ABHD1	abhydrolase domain containing 1	NM_032604	84696	NM_032604
HGNC:18717	ABHD2	abhydrolase domain containing 2		11057	NM_007011
HGNC:18718	ABHD3	abhydrolase domain containing 3		171586	NM_001308256
HGNC:20154	ABHD4	abhydrolase domain containing 4		63874	NM_022060
HGNC:21396	ABHD5	abhydrolase domain containing 5	NM_016006	51099	NM_001355186
HGNC:21398	ABHD6	abhydrolase domain containing 6	NM_020676	57406	NM_001320126
HGNC:23759	ABHD8	abhydrolase domain containing 8	NM_024527	79575	NM_024527
HGNC:25656	ABHD10	abhydrolase domain containing 10	NM_018394	55347	NM_001272069
HGNC:16407	ABHD11	abhydrolase domain containing 11		83451	NM_001145364
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	NR_026690	171022	NR_026690
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn			
HGNC:15868	ABHD12	abhydrolase domain containing 12	NM_015600	26090	NM_001042472
HGNC:19837	ABHD12B	abhydrolase domain containing 12B		145447	NM_001206673
HGNC:20293	ABHD13	abhydrolase domain containing 13	NM_032859	84945	NM_032859
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	NM_015407	25864	NM_015407
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		100526760	NM_001316331
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	NM_032750	84836	NM_001146314
HGNC:26971	ABHD15	abhydrolase domain containing 15	NM_198147	116236	NM_198147
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		104355133	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A		7920	NM_001177515
HGNC:16128	ABHD16B	abhydrolase domain containing 16B		140701	NM_080622
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	NM_031213	81926	NM_001130111
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	NG_011738	728917	NG_011738
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1			
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	XR_041784	648359	NG_030366
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4		729495	NG_023156
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5		91219	NG_000002
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6		644988	NG_022988
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7		100133212	NG_022980
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8		647144	NG_023021
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9		100132251	NG_028293
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	NM_016014	51104	NM_001025780
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	NM_021214	58489	NM_021214
HGNC:26111	ABHD18	abhydrolase domain containing 18	NM_001039717	80167	NM_001319305
HGNC:11320	ABI1	abl interactor 1	NM_005470	10006	NM_001012750
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	NG_002531	326268	NG_002531
HGNC:24011	ABI2	abl interactor 2	NM_005759	10152	NM_001282925
HGNC:29859	ABI3	ABI family member 3	NM_016428	51225	NM_001135186
HGNC:17265	ABI3BP	ABI family member 3 binding protein		25890	NM_001349329
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	NM_007313	25	NM_005157
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	NM_005158	27	NM_001136000
HGNC:78	ABLIM1	actin binding LIM protein 1		3983	NM_001003407
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	NM_001130083	84448	NM_001130083
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	NM_014945	22885	NM_001301015
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	NM_020469	28	NM_020469
HGNC:81	ABR	ABR, RhoGEF and GTPase activating protein		29	NM_001092
HGNC:30655	ABRA	actin binding Rho activating protein	NM_139166	137735	NM_139166
HGNC:21230	ABRACL	ABRA C-terminal like	NM_021243	58527	NM_021243
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	NM_139076	84142	NM_001345962
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	NM_032182	23172	NM_032182
HGNC:17369	ABT1	activator of basal transcription 1		29777	NM_013375
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	NG_025142	100420695	NG_025142
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	NM_172027	80325	NM_032548
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	NM_145804	25841	NM_145804
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	NM_001607	30	NM_001130410
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	NM_006111	10449	NM_006111
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	NM_198836	31	NM_198834
HGNC:85	ACACB	acetyl-CoA carboxylase beta	NM_001093	32	NM_001093
HGNC:86	ACAD~withdrawn	entry withdrawn			
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	NM_014384	27034	NM_014384
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	NM_014049	28976	NM_014049
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	NM_025247	80724	NM_001136538
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	NM_032169	84129	NM_032169
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	NM_001608	33	NM_001608
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain		34	NM_000016
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	NM_000017	35	NM_000017
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609	36	NM_001330174
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018	37	NM_000018
HGNC:319	ACAN	aggrecan	NM_001135	176	NM_001135
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	NM_014716	9744	NM_014716
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	NM_012287	23527	NM_012287
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1		100874306	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	NM_030649	116983	NM_030649
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	NM_000019	38	NM_000019
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	NM_005891	39	NM_001303253
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	NM_022735	64746	NM_022735
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	NR_146443	107985353	NR_146443
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	NM_024722	79777	NM_001135705
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	NM_145698	91452	NM_001042473
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	NM_032360	84320	NM_032360
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7		414149	NM_001039844
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2			
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA			
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2			
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6			
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	NM_032592	84680	NM_001127219
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	NM_001031854	390110	NM_001031854
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	NM_022914	65057	NM_001082486
HGNC:2707	ACE	angiotensin I converting enzyme	NM_000789	1636	NM_000789
HGNC:13557	ACE2	angiotensin I converting enzyme 2		59272	NM_021804
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene		100129123	NG_016186
HGNC:18356	ACER1	alkaline ceramidase 1	NM_133492	125981	NM_133492
HGNC:23675	ACER2	alkaline ceramidase 2	NM_001010887	340485	NM_001010887
HGNC:16066	ACER3	alkaline ceramidase 3	NM_018367	55331	NM_001300953
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3			
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA			
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	NM_015831	43	NM_000665
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3			
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3			
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3			
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND			
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG			
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	NM_014977	22985	NM_001164814
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	NM_002036	2532	NM_001122951
HGNC:1565	ACKR2	atypical chemokine receptor 2	NM_001296	1238	NM_001296
HGNC:23692	ACKR3	atypical chemokine receptor 3	NM_020311	57007	NM_020311
HGNC:1611	ACKR4	atypical chemokine receptor 4	NM_016557	51554	NM_016557
HGNC:114	ACLS	acrocallosal syndrome		46	
HGNC:115	ACLY	ATP citrate lyase	NM_001096	47	NM_001096
HGNC:116	ACMG~withdrawn	entry withdrawn			
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		130013	NM_001307983
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene		347275	NG_023464
HGNC:117	ACO1	aconitase 1	NM_002197	48	NM_001278352
HGNC:118	ACO2	aconitase 2	NM_001098	50	NM_001098
HGNC:33904	ACOD1	aconitate decarboxylase 1	NM_001258406	730249	NM_001258406
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	NM_001037161	641371	NM_001037161
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	NM_006821	10965	NM_006821
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	NM_152331	122970	NM_152331
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	NM_001037162	641372	NM_001037162
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	NM_007274	11332	NM_007274
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	NM_183386	10005	NM_005469
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	NM_012332	23597	NM_001033583
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	NM_015547	26027	NM_015547
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	NM_130767	134526	NM_130767
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	NM_018473	55856	NM_001160094
HGNC:119	ACOX1	acyl-CoA oxidase 1		51	NM_001185039
HGNC:120	ACOX2	acyl-CoA oxidase 2	NM_003500	8309	NM_003500
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		8310	NM_001101667
HGNC:25621	ACOXL	acyl-CoA oxidase like	NM_018308	55289	NM_001142807
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	NR_122074	400997	NR_122074
HGNC:122	ACP1	acid phosphatase 1	NM_004300	52	NM_001040649
HGNC:123	ACP2	acid phosphatase 2, lysosomal	NM_001610	53	NM_001302489
HGNC:14376	ACP4	acid phosphatase 4	NM_033068	93650	NM_033068
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant		54	NM_001111034
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	NM_016361	51205	NM_001323625
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	NM_001004318	390928	NM_001004318
HGNC:125	ACPP	acid phosphatase, prostate	NM_001099	55	NM_001099
HGNC:126	ACR	acrosin	NM_001097	49	NM_001097
HGNC:17195	ACRBP	acrosin binding protein	NM_032489	84519	NM_032489
HGNC:127	ACRV1	acrosomal vesicle protein 1	NM_001612	56	NM_001612
HGNC:128	ACS3~withdrawn	symbol withdrawn, see TWIST1			
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	NM_015162	23205	NM_001199377
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	NM_030924	81616	NM_001289177
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	NM_025149	80221	NM_001288968
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	NM_174917	197322	NM_001127214
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	NM_001995	2180	NM_001286708
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	NM_004457	2181	NM_001354158
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	NM_004458	2182	NM_001318509
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	NM_016234	51703	NM_016234
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	NM_015256	23305	NM_001009185
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	NM_052956	116285	NM_001318890
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	NM_001010845	123876	NM_001308169
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	NM_182617	348158	NM_001105069
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	NM_005622	6296	NM_005622
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	NM_001080454	341392	NM_001080454
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	NM_017888	54988	NM_001324371
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	NG_026352	100421779	NG_026352
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	NM_207321	142827	NM_207321
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	NM_032501	84532	NM_001252675
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	NM_018677	55902	NM_001076552
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	NM_024560	79611	NM_001330242
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	NM_001100	58	NM_001100
HGNC:130	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	59	NM_001141945
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	NR_125373	100132116	NR_125373
HGNC:131	ACTA3~withdrawn	symbol withdrawn, see ACTG2			
HGNC:132	ACTB	actin beta	NM_001101	60	NM_001101
HGNC:17780	ACTBL2	actin, beta like 2	NM_001017992	345651	NM_001017992
HGNC:134	ACTBP1	actin, beta pseudogene 1	NG_022596	643309	NG_022596
HGNC:135	ACTBP2	actin, beta pseudogene 2	NG_003019	62	NG_003019
HGNC:136	ACTBP3	actin, beta pseudogene 3		63	NG_016990
HGNC:137	ACTBP4	actin, beta pseudogene 4		64	NG_003020
HGNC:138	ACTBP5~withdrawn	entry withdrawn			
HGNC:139	ACTBP6	actin, beta pseudogene 6	NG_008793	66	NG_008793
HGNC:140	ACTBP7	actin, beta pseudogene 7		67	NG_002724
HGNC:141	ACTBP8	actin, beta pseudogene 8	NG_000840	68	NG_000840
HGNC:142	ACTBP9	actin, beta pseudogene 9	NG_003162	69	NG_003162
HGNC:31819	ACTBP10	actin, beta pseudogene 10		446207	NG_032756
HGNC:33971	ACTBP11	actin, beta pseudogene 11		644220	NG_007577
HGNC:150	ACTBP12	actin, beta pseudogene 12	NG_026958	100462767	NG_026958
HGNC:44626	ACTBP13	actin, beta pseudogene 13		389120	NG_028183
HGNC:45086	ACTBP14	actin, beta pseudogene 14	NG_022182	389976	NG_022182
HGNC:143	ACTC1	actin, alpha, cardiac muscle 1	NM_005159	70	NM_005159
HGNC:144	ACTG1	actin gamma 1	NM_001614	71	NM_001199954
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	NG_001068	73	NG_001068
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	NG_004636	74	NG_000841
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	NG_000842	75	NG_000842
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4		648740	NR_024438
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6		78	
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7		79	
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8		80	
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9	NG_001069	82	NG_001069
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10	NG_003039	83	NG_003039
